stat,rank,player_id,player_name,value
interceptions_def,1,1,Patrick Mahomes,0.0
interceptions_def,2,2,Josh Allen,0.0
interceptions_def,3,3,Travis Kelce,0.0
interceptions_def,4,4,Stefon Diggs,0.0
interceptions_def,5,5,Patrick Mahomes,0.0
pass_tds,1,1,Patrick Mahomes,35.0
pass_tds,2,5,Patrick Mahomes,35.0
pass_tds,3,2,Josh Allen,32.0
pass_tds,4,6,Josh Allen,32.0
pass_tds,5,9,Patrick Mahomes,30.0
pass_yards,1,1,Patrick Mahomes,4500.0
pass_yards,2,5,Patrick Mahomes,4500.0
pass_yards,3,2,Josh Allen,4200.0
pass_yards,4,6,Josh Allen,4200.0
pass_yards,5,9,Patrick Mahomes,4000.0
recv_tds,1,3,Travis Kelce,12.0
recv_tds,2,7,Travis Kelce,12.0
recv_tds,3,4,Stefon Diggs,10.0
recv_tds,4,8,Stefon Diggs,10.0
recv_tds,5,1,Patrick Mahomes,0.0
recv_yards,1,3,Travis Kelce,1200.0
recv_yards,2,7,Travis Kelce,1200.0
recv_yards,3,4,Stefon Diggs,1100.0
recv_yards,4,8,Stefon Diggs,1100.0
recv_yards,5,1,Patrick Mahomes,0.0
rush_tds,1,2,Josh Allen,8.0
rush_tds,2,6,Josh Allen,8.0
rush_tds,3,13,Test3 Player,8.0
rush_tds,4,16,Test3 Player,8.0
rush_tds,5,10,Josh Allen,6.0
rush_yards,1,13,Test3 Player,1000.0
rush_yards,2,16,Test3 Player,1000.0
rush_yards,3,2,Josh Allen,500.0
rush_yards,4,6,Josh Allen,500.0
rush_yards,5,10,Josh Allen,400.0
sacks,1,1,Patrick Mahomes,0.0
sacks,2,2,Josh Allen,0.0
sacks,3,3,Travis Kelce,0.0
sacks,4,4,Stefon Diggs,0.0
sacks,5,5,Patrick Mahomes,0.0
tackles,1,1,Patrick Mahomes,0.0
tackles,2,2,Josh Allen,0.0
tackles,3,3,Travis Kelce,0.0
tackles,4,4,Stefon Diggs,0.0
tackles,5,5,Patrick Mahomes,0.0
