season,stat,rank,player_id,player_name,team_id,value
2025,interceptions_def,1,1,Patrick Mahomes,1,0.0
2025,interceptions_def,2,2,Josh Allen,2,0.0
2025,interceptions_def,3,3,Travis Kelce,1,0.0
2025,interceptions_def,4,4,Stefon Diggs,2,0.0
2025,interceptions_def,5,5,Patrick Mahomes,3,0.0
2025,pass_tds,1,1,Patrick Mahomes,1,35.0
2025,pass_tds,2,5,Patrick Mahomes,3,35.0
2025,pass_tds,3,2,Josh Allen,2,32.0
2025,pass_tds,4,6,Josh Allen,4,32.0
2025,pass_tds,5,11,Test Player,5,25.0
2025,pass_yards,1,1,Patrick Mahomes,1,4500.0
2025,pass_yards,2,5,Patrick Mahomes,3,4500.0
2025,pass_yards,3,2,Josh Allen,2,4200.0
2025,pass_yards,4,6,Josh Allen,4,4200.0
2025,pass_yards,5,11,Test Player,5,3000.0
2025,recv_tds,1,3,Travis Kelce,1,12.0
2025,recv_tds,2,7,Travis Kelce,3,12.0
2025,recv_tds,3,4,Stefon Diggs,2,10.0
2025,recv_tds,4,8,Stefon Diggs,4,10.0
2025,recv_tds,5,1,Patrick Mahomes,1,0.0
2025,recv_yards,1,3,Travis Kelce,1,1200.0
2025,recv_yards,2,7,Travis Kelce,3,1200.0
2025,recv_yards,3,4,Stefon Diggs,2,1100.0
2025,recv_yards,4,8,Stefon Diggs,4,1100.0
2025,recv_yards,5,1,Patrick Mahomes,1,0.0
2025,rush_tds,1,2,Josh Allen,2,8.0
2025,rush_tds,2,6,Josh Allen,4,8.0
2025,rush_tds,3,13,Test3 Player,7,8.0
2025,rush_tds,4,16,Test3 Player,10,8.0
2025,rush_tds,5,1,Patrick Mahomes,1,2.0
2025,rush_yards,1,13,Test3 Player,7,1000.0
2025,rush_yards,2,16,Test3 Player,10,1000.0
2025,rush_yards,3,2,Josh Allen,2,500.0
2025,rush_yards,4,6,Josh Allen,4,500.0
2025,rush_yards,5,1,Patrick Mahomes,1,300.0
2025,sacks,1,1,Patrick Mahomes,1,0.0
2025,sacks,2,2,Josh Allen,2,0.0
2025,sacks,3,3,Travis Kelce,1,0.0
2025,sacks,4,4,Stefon Diggs,2,0.0
2025,sacks,5,5,Patrick Mahomes,3,0.0
2025,tackles,1,1,Patrick Mahomes,1,0.0
2025,tackles,2,2,Josh Allen,2,0.0
2025,tackles,3,3,Travis Kelce,1,0.0
2025,tackles,4,4,Stefon Diggs,2,0.0
2025,tackles,5,5,Patrick Mahomes,3,0.0
